Cromossomo; fit; E
1;4.953032;-32
2;3.669297;-26
3;2.718282;-20
4;2.459603;-18
5;2.459603;-18
6;2.225541;-16
7;2.225541;-16
8;1.648721;-10
9;1.491825;-8
10;1.221403;-4
11;1.221403;-4
12;1.105171;-2
13;1.105171;-2
14;1.000000;0
15;1.000000;0
16;1.000000;0
17;0.904837;2
18;0.904837;2
19;0.904837;2
20;0.818731;4
21;0.740818;6
22;0.740818;6
23;0.670320;8
24;0.548812;12
25;0.496585;14
26;0.496585;14
27;0.449329;16
28;0.449329;16
29;0.449329;16
30;0.149569;38
